County,"Yes
None/Unknown","No
None/Unknown",Total Votes Cast,latitude,longitude
Totals,"1,854,153","1,208,414","3,062,567",0,0
Adams,"141,813","80,062","221,875",0,0
Alamosa,"4,469","2,993","7,462",0,0
Arapahoe,"201,837","128,192","330,029",0,0
Archuleta,"4,418","3,836","8,254",0,0
Baca,"1,060","1,024","2,084",0,0
Bent,"1,316",877,"2,193",0,0
Boulder,"112,460","78,665","191,125",0,0
Broomfield,"27,514","16,795","44,309",0,0
Chaffee,"7,024","5,904","12,928",0,0
Cheyenne,525,576,"1,101",0,0
Clear Creek,"3,774","2,471","6,245",0,0
Conejos,"2,082","1,992","4,074",0,0
Costilla,"1,041",825,"1,866",0,0
Crowley,875,795,"1,670",0,0
Custer,"1,625","1,773","3,398",0,0
Delta,"9,473","8,721","18,194",0,0
Denver,"248,863","115,874","364,737",0,0
Dolores,631,712,"1,343",0,0
Douglas,"135,197","83,797","218,994",0,0
Eagle,"18,062","9,107","27,169",0,0
El Paso,"203,543","155,992","359,535",0,0
Elbert,"9,891","8,351","18,242",0,0
Fremont,"13,434","11,043","24,477",0,0
Garfield,"18,420","10,783","29,203",0,0
Gilpin,"2,896","1,213","4,109",0,0
Grand,"5,428","3,842","9,270",0,0
Gunnison,"6,379","3,946","10,325",0,0
Hinsdale,296,275,571,0,0
Huerfano,"2,421","1,758","4,179",0,0
Jackson,426,401,827,0,0
Jefferson,"212,029","145,367","357,396",0,0
Kiowa,381,479,860,0,0
Kit Carson,"1,838","1,834","3,672",0,0
La Plata,"18,749","13,977","32,726",0,0
Lake,"2,330","1,408","3,738",0,0
Larimer,"121,553","88,219","209,772",0,0
Las Animas,"4,064","3,455","7,519",0,0
Lincoln,"1,317","1,211","2,528",0,0
Logan,"5,526","4,470","9,996",0,0
Mesa,"47,915","37,305","85,220",0,0
Mineral,392,330,722,0,0
Moffat,"3,930","2,671","6,601",0,0
Montezuma,"7,132","7,426","14,558",0,0
Montrose,"12,700","10,574","23,274",0,0
Morgan,"7,517","5,574","13,091",0,0
Otero,"5,367","3,850","9,217",0,0
Ouray,"2,175","1,571","3,746",0,0
Park,"6,722","4,996","11,718",0,0
Phillips,"1,103","1,233","2,336",0,0
Pitkin,"7,522","3,384","10,906",0,0
Prowers,"3,029","2,258","5,287",0,0
Pueblo,"52,538","31,857","84,395",0,0
Rio Blanco,"1,928","1,466","3,394",0,0
Rio Grande,"3,256","2,732","5,988",0,0
Routt,"9,619","6,073","15,692",0,0
Saguache,"1,713","1,425","3,138",0,0
San Juan,284,228,512,0,0
San Miguel,"3,143","1,530","4,673",0,0
Sedgwick,740,593,"1,333",0,0
Summit,"11,130","5,956","17,086",0,0
Teller,"9,051","7,120","16,171",0,0
Washington,"1,458","1,410","2,868",0,0
Weld,"96,323","61,611","157,934",0,0
Yuma,"2,486","2,226","4,712",0,0
Totals,"1,854,153","1,208,414","3,062,567",0,0
